                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "d524755"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20220620"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                        dynamic_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                                 period_f                                period_1o 
                                       1                                     2493                  1.7677669529663690E+004                  4.2474250108400469E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8691247499592881E-001                  1.4336294906072616E-001                  7.8132229093745224E-008                  9.9999999943620121E-001                  9.9999999838683951E-001                  1.4336294906072616E-001                  7.8132229093745224E-008                  9.9999999943620121E-001                  9.9999999838683951E-001                  1.2058177449367395E+000                 -3.7781008600853703E+001                 -9.8999999999999986E+001                  1.2058177449367393E+000                  9.1477215206066964E-001                  8.9456839354866569E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8296848661380555E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4730014884235108E+004                  3.9573155914468474E+000                  1.2084375468996307E+000                  2.1224075142061713E-001                  4.3146161201258799E+000                  0.0000000000000000E+000                  1.7259981666563782E+001                  1.8067382955127869E+000                  7.3257894239631725E+000                  6.2265295870735915E-001                  8.4793649964869244E-001                  1.3021073831437757E+000                  6.9587120577660078E-001                  2.8357195899445875E-001                  2.9833158078961854E-005                  9.2360980409434464E-003                  3.4468833607860724E-003                  9.3805276451495341E-003                  1.3982670893238303E+000                  5.6131778742889704E-001                                        0                                        3                 -9.9999999999999997E+098                  8.9181004589213597E-001 
                                       5                                      962                  1.3155014557194529E+005                  4.5641499950305455E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8189731081220737E-001                  1.3855723488851424E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999840022336E-001                  1.3855723488851424E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999840022336E-001                  1.2062864491955709E+000                 -3.7779969023140957E+001                 -1.4148409796207115E+001                  1.2062864491955712E+000                  9.1528345219572971E-001                  8.9499246903649976E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8608580988642306E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4729028280790120E+004                  3.9573264257926759E+000                  1.2084420981006294E+000                  2.1222135832945910E-001                  4.3146549063081956E+000                  0.0000000000000000E+000                  1.7260731120484607E+001                  1.8074384467703726E+000                  7.3258528106775822E+000                  6.2267479435535544E-001                  8.4791066153223393E-001                  1.3021729408852625E+000                  6.9581956351234719E-001                  2.8362400730886295E-001                  2.9897926898352568E-005                  9.2337512460801581E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982485180742539E+000                  5.6133526714924953E-001                                        0                                        3                 -9.9999999999999997E+098                  8.9171472234984783E-001 
                                      10                                      960                  4.5888900380152819E+005                  4.9600562252686702E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.7827977368005002E-001                  1.3855723488851424E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839989184E-001                  1.3855723488851424E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839989184E-001                  1.2083738321309967E+000                 -3.7775087649053475E+001                 -9.8999999999999986E+001                  1.2083738321309967E+000                  9.1862151413478765E-001                  8.9576547677964302E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8653053203345713E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4736039772548373E+004                  3.9574153563554719E+000                  1.2090734056410291E+000                  2.1235915097406829E-001                  4.3143793210189774E+000                  0.0000000000000000E+000                  1.7261321449309182E+001                  1.8080011723060736E+000                  7.3259271019132939E+000                  6.2274333688306571E-001                  8.4783572504899507E-001                  1.3023631996964471E+000                  6.9566969480871843E-001                  2.8377474966457028E-001                  2.9950310685627235E-005                  9.2269341828765724E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3981952080010249E+000                  5.6138596915317818E-001                                        0                                        3                 -9.9999999999999997E+098                  8.9207906956454086E-001 
